filename,width,height,class,xmin,ymin,xmax,ymax
141.jpg,299,335,fracture,125,73,167,106
142.jpg,811,1024,fracture,548,530,615,619
143.jpg,285,380,fracture,222,215,255,252
143.jpg,285,380,fracture,189,200,217,233
144.jpg,495,835,fracture,185,409,242,575
145.jpg,224,300,fracture,73,144,109,220
145.jpg,224,300,fracture,108,142,147,219
146.jpg,223,297,fracture,28,172,60,205
147.jpg,226,298,fracture,91,129,133,225
148.jpg,0,0,fracture,49,114,96,162
148.jpg,0,0,fracture,77,48,113,87
149.jpg,0,0,fracture,105,54,136,98
15.jpg,750,881,fracture,489,597,533,634
150.jpg,371,380,fracture,267,232,298,268
151.jpg,360,359,fracture,249,204,279,238
152.jpg,630,630,fracture,301,69,348,122
153.jpg,591,1024,fracture,466,314,538,403
154.jpg,0,0,fracture,272,386,354,569
154.jpg,0,0,fracture,358,417,405,487
154.jpg,0,0,fracture,411,391,458,532
155.jpg,488,812,fracture,154,553,204,602
156.jpg,519,812,fracture,201,529,259,591
157.jpg,515,812,fracture,212,531,260,585
158.jpg,872,1024,fracture,578,202,675,349
158.jpg,872,1024,fracture,570,67,609,132
159.jpg,0,0,fracture,198,39,212,60
16.jpg,495,835,fracture,187,410,244,570
160.jpg,263,345,fracture,119,66,155,109
160.jpg,263,345,fracture,36,98,62,134
160.jpg,263,345,fracture,13,89,29,108
161.jpg,555,865,fracture,139,395,169,429
162.jpg,484,734,fracture,310,355,357,425
163.jpg,0,0,fracture,138,242,183,298
164.jpg,0,0,fracture,281,362,337,443
164.jpg,0,0,fracture,233,389,273,449
165.jpg,275,353,fracture,134,24,150,42
166.jpg,360,360,fracture,133,129,208,232
167.jpg,259,398,fracture,192,223,214,253
168.jpg,630,630,fracture,302,67,346,128
169.jpg,355,480,fracture,151,323,181,357
17.jpg,484,734,fracture,307,357,357,421
170.jpg,840,1200,fracture,77,431,268,609
171.jpg,747,1024,fracture,269,725,360,816
172.jpg,285,380,fracture,217,212,252,258
172.jpg,285,380,fracture,190,204,212,236
173.jpg,657,728,fracture,486,443,556,543
174.jpg,552,1024,fracture,171,336,242,427
175.jpg,704,1024,fracture,207,357,283,450
175.jpg,704,1024,fracture,125,421,191,489
175.jpg,704,1024,fracture,302,299,391,408
175.jpg,704,1024,fracture,429,329,509,430
176.jpg,822,1024,fracture,228,294,281,353
177.jpg,603,1024,fracture,218,357,303,442
177.jpg,603,1024,fracture,325,371,405,467
178.jpg,820,1024,fracture,571,634,638,719
179.jpg,685,1023,fracture,79,427,138,491
18.jpg,697,1024,fracture,479,585,568,691
180.jpg,1024,1024,fracture,632,654,718,748
181.jpg,667,1024,fracture,251,186,326,274
182.jpg,841,1024,fracture,521,157,594,271
183.jpg,657,1024,fracture,510,310,593,402
184.jpg,896,1024,fracture,557,533,627,609
185.jpg,749,1024,fracture,303,773,360,837
186.jpg,1024,731,fracture,364,430,424,484
186.jpg,1024,731,fracture,803,390,865,451
187.jpg,659,1024,fracture,411,736,500,815
188.jpg,578,1024,fracture,281,364,353,439
188.jpg,578,1024,fracture,189,349,253,425
189.jpg,480,585,fracture,108,274,160,331
19.jpg,909,1024,fracture,558,513,649,639
190.jpg,0,0,fracture,338,342,391,407
191.jpg,484,734,fracture,308,362,356,422
192.jpg,837,1024,fracture,192,427,269,511
193.jpg,540,746,fracture,61,382,126,438
194.jpg,515,836,fracture,279,102,356,189
195.jpg,413,814,fracture,77,426,225,486
196.jpg,438,834,fracture,91,436,255,508
197.jpg,1018,743,fracture,594,383,632,437
198.jpg,1018,743,fracture,645,433,689,479
199.jpg,1018,743,fracture,567,440,609,496
2.jpg,0,0,fracture,194,38,217,67
20.jpg,480,585,fracture,102,268,161,332
200.jpg,549,543,fracture,352,280,388,321
201.jpg,575,562,fracture,416,281,485,363
202.jpg,575,562,fracture,417,281,485,352
203.jpg,768,964,fracture,505,530,567,601
204.jpg,768,964,fracture,515,457,579,536
205.jpg,634,1125,fracture,206,774,349,915
206.jpg,621,1125,fracture,262,900,381,1000
207.jpg,563,1125,fracture,225,705,346,827
208.jpg,359,675,fracture,140,385,196,444
209.jpg,345,768,fracture,198,478,246,529
21.jpg,300,270,fracture,63,125,107,171
21.jpg,300,270,fracture,31,141,67,180
210.jpg,1024,1286,fracture,905,335,974,405
211.jpg,1024,1280,fracture,905,331,956,374
212.jpg,582,1500,fracture,267,470,328,538
213.jpg,946,1500,fracture,285,781,378,899
213.jpg,946,1500,fracture,376,746,469,869
214.jpg,1024,1308,fracture,387,644,473,802
214.jpg,1024,1308,fracture,317,646,395,804
215.jpg,1024,1358,fracture,241,639,323,770
216.jpg,1024,1399,fracture,315,908,411,1008
216.jpg,1024,1399,fracture,413,869,513,1010
217.jpg,525,835,fracture,390,448,446,511
218.jpg,644,1754,fracture,237,814,364,933
219.jpg,520,1466,fracture,227,695,327,853
22.jpg,0,0,fracture,269,299,301,334
220.jpg,529,1008,fracture,228,766,373,942
221.jpg,300,288,fracture,202,131,248,181
222.jpg,285,380,fracture,221,216,253,246
222.jpg,285,380,fracture,191,203,216,228
223.jpg,492,473,fracture,336,223,404,299
224.jpg,636,640,fracture,143,472,221,564
225.jpg,380,630,fracture,297,348,344,402
226.jpg,617,1024,fracture,345,694,439,792
227.jpg,636,640,fracture,148,480,227,562
228.jpg,285,380,fracture,219,215,253,251
228.jpg,285,380,fracture,191,205,216,230
229.jpg,800,1093,fracture,336,715,415,792
23.jpg,428,932,fracture,104,205,236,358
230.jpg,1024,1024,fracture,635,642,717,742
231.jpg,494,812,fracture,359,387,412,437
232.jpg,972,997,fracture,293,207,393,311
233.jpg,837,1024,fracture,192,433,264,508
234.jpg,525,812,fracture,400,384,446,431
235.jpg,284,418,fracture,163,163,208,223
236.jpg,279,667,fracture,25,408,106,503
24.jpg,909,1024,fracture,564,517,652,632
25.jpg,0,0,fracture,268,300,300,335
26.jpg,1754,2333,fracture,1343,1366,1507,1545
27.jpg,1487,1705,fracture,605,499,873,915
27.jpg,1487,1705,fracture,899,455,1099,834
27.jpg,1487,1705,fracture,1220,557,1339,957
28.jpg,1586,1706,fracture,683,552,886,1005
28.jpg,1586,1706,fracture,1002,610,1144,1026
28.jpg,1586,1706,fracture,1257,750,1412,1155
29.jpg,183,303,fracture,50,43,82,87
3.jpg,768,923,fracture,369,610,408,661
30.jpg,192,303,fracture,12,64,51,113
31.jpg,630,630,fracture,285,364,382,468
32.jpg,704,1024,fracture,110,421,185,502
32.jpg,704,1024,fracture,200,358,286,466
32.jpg,704,1024,fracture,294,280,408,427
32.jpg,704,1024,fracture,435,335,514,427
33.jpg,896,1024,fracture,549,517,637,621
34.jpg,226,418,fracture,59,171,130,284
35.jpg,282,418,fracture,157,157,211,234
36.jpg,1053,1191,fracture,723,408,835,608
37.jpg,1500,2000,fracture,715,1114,921,1405
38.jpg,1500,2000,fracture,702,1114,948,1399
39.jpg,167,224,fracture,98,13,127,48
4.jpg,442,442,fracture,272,275,309,326
40.jpg,210,239,fracture,78,14,115,57
41.jpg,665,1024,fracture,346,669,426,750
42.jpg,327,442,fracture,84,217,113,283
43.jpg,0,0,fracture,200,192,237,238
44.jpg,263,371,fracture,34,205,56,233
45.jpg,255,363,fracture,76,155,133,225
46.jpg,274,300,fracture,105,143,135,171
47.jpg,348,420,fracture,236,259,262,298
48.jpg,353,437,fracture,243,220,274,260
49.jpg,153,303,fracture,22,46,49,83
5.jpg,478,640,fracture,159,342,209,402
5.jpg,478,640,fracture,111,351,168,415
50.jpg,174,300,fracture,12,64,52,110
51.jpg,316,467,fracture,208,246,235,293
52.jpg,704,1024,fracture,103,413,185,508
52.jpg,704,1024,fracture,207,353,285,461
52.jpg,704,1024,fracture,297,285,394,419
52.jpg,704,1024,fracture,436,332,508,438
53.jpg,0,0,fracture,270,303,299,335
54.jpg,343,404,fracture,83,101,136,160
55.jpg,492,473,fracture,332,222,410,305
56.jpg,263,345,fracture,120,72,156,107
56.jpg,263,345,fracture,29,98,64,138
56.jpg,263,345,fracture,66,72,103,109
57.jpg,0,0,fracture,253,129,346,290
58.jpg,626,660,fracture,209,296,251,357
59.jpg,808,1024,fracture,401,32,476,121
59.jpg,808,1024,fracture,240,91,304,157
6.jpg,1296,728,fracture,806,436,884,533
60.jpg,254,325,fracture,58,175,75,205
61.jpg,814,845,fracture,461,435,541,558
62.jpg,394,751,fracture,164,401,231,506
63.jpg,396,751,fracture,98,384,175,490
64.jpg,759,1024,fracture,305,842,358,903
65.jpg,226,418,fracture,70,167,121,257
66.jpg,280,410,fracture,158,158,205,230
67.jpg,223,415,fracture,66,168,114,262
68.jpg,0,0,fracture,109,177,142,214
68.jpg,0,0,fracture,79,212,111,278
69.jpg,327,442,fracture,84,217,117,274
7.jpg,568,769,fracture,126,307,180,366
70.jpg,1055,1620,fracture,141,802,258,1042
71.jpg,322,450,fracture,122,336,162,389
72.jpg,357,450,fracture,81,313,127,358
73.jpg,1017,1199,fracture,766,684,870,791
74.jpg,3000,3955,fracture,1890,2439,2084,2708
75.jpg,327,442,fracture,85,217,111,271
76.jpg,300,270,fracture,65,132,106,172
76.jpg,300,270,fracture,32,146,65,179
77.jpg,750,881,fracture,492,596,529,636
78.jpg,821,1024,fracture,452,533,549,660
79.jpg,300,288,fracture,204,129,246,182
8.jpg,1280,1539,fracture,595,1023,657,1104
80.jpg,545,640,fracture,188,448,208,480
81.jpg,1476,1706,fracture,321,428,539,631
81.jpg,1476,1706,fracture,942,673,1105,989
81.jpg,1476,1706,fracture,778,680,918,834
81.jpg,1476,1706,fracture,577,563,765,836
82.jpg,1593,1706,fracture,781,480,1014,765
82.jpg,1593,1706,fracture,1089,603,1231,813
82.jpg,1593,1706,fracture,1202,736,1368,970
83.jpg,500,717,fracture,190,376,265,439
84.jpg,588,1024,fracture,180,626,258,690
85.jpg,285,380,fracture,186,191,218,226
85.jpg,285,380,fracture,213,203,243,246
86.jpg,768,923,fracture,373,615,409,671
87.jpg,555,865,fracture,141,402,170,421
88.jpg,678,728,fracture,509,429,576,525
89.jpg,1754,2333,fracture,1339,1366,1500,1538
9.jpg,313,1008,fracture,114,617,257,777
90.jpg,450,405,fracture,290,139,325,183
90.jpg,450,405,fracture,74,152,112,197
91.jpg,0,0,fracture,376,364,431,432
92.jpg,702,1200,fracture,501,729,583,813
93.jpg,360,600,fracture,197,121,274,202
94.jpg,298,667,fracture,15,472,101,557
95.jpg,602,1024,fracture,193,248,251,338
95.jpg,602,1024,fracture,277,225,346,313
95.jpg,602,1024,fracture,395,246,469,341
96.jpg,721,1024,fracture,476,208,571,333
97.jpg,0,0,fracture,125,230,162,276
98.jpg,0,0,fracture,109,107,160,161
99.jpg,373,751,fracture,140,406,213,510
